started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-01-01 17:02:50.135000+00:00,2023-01-01 17:08:04.491000+00:00,314,462,Stensparken,ved Sporveisgata,59.92714,10.730981,427,Briskeby,ved Uranienborg skole,59.920218,10.717978
2023-01-01 17:11:26.278000+00:00,2023-01-01 17:22:41.701000+00:00,675,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372,569,Botanisk hage sør-vest,ved Sars' gate,59.91783548782385,10.766373769557958
2023-01-01 17:16:36.955000+00:00,2023-01-01 17:17:43.815000+00:00,66,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058
2023-01-01 17:23:29.330000+00:00,2023-01-01 17:31:26.686000+00:00,477,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,622,Pilestredet 63,ved trikkestoppet,59.9238826,10.7313627
2023-01-01 17:24:48.299000+00:00,2023-01-01 17:28:26.429000+00:00,218,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101,481,Rådhusgata,ved Kontraskjæret trikkestopp,59.910924,10.736215
2023-01-01 17:30:55.950000+00:00,2023-01-01 17:37:44.205000+00:00,408,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006
2023-01-01 17:32:27.873000+00:00,2023-01-01 17:35:48.048000+00:00,200,444,AHO,langs Maridalsveien,59.925265,10.750462,442,Vulkan,ved Maridalsveien,59.92251,10.75101
2023-01-01 17:35:53.996000+00:00,2023-01-01 17:45:01.336000+00:00,547,442,Vulkan,ved Maridalsveien,59.92251,10.75101,483,Hausmanns gate,ved Røde Kors,59.915451,10.758328
2023-01-01 18:11:21.371000+00:00,2023-01-01 18:14:37.430000+00:00,196,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101,739,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232
2023-01-01 18:17:41.340000+00:00,2023-01-01 18:34:45.718000+00:00,1024,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,581,Jordalgata,ved Galgeberg busstopp,59.908227,10.781088
